Source,Target,Weight
1,2,2
1,3,-2
1,4,-1
1,5,-2
1,6,-2
1,12,-2
1,15,2
1,16,1
2,1,1
2,3,-2
2,5,-2
2,6,-1
2,9,-2
2,10,-1
2,15,2
2,16,2
3,1,-2
3,2,-1
3,4,2
3,6,2
3,7,1
3,8,1
4,1,-1
4,3,1
4,8,2
5,1,-2
5,2,-1
5,7,1
5,9,2
5,14,1
5,15,-2
5,16,-2
6,1,-2
6,2,-2
6,3,1
6,7,2
6,8,2
6,9,-2
6,11,2
6,12,2
6,13,-1
6,16,-2
7,3,2
7,5,1
7,6,1
7,8,2
7,11,2
7,12,2
7,13,1
8,3,2
8,4,1
8,6,2
8,7,1
8,11,2
8,12,2
8,14,-1
9,2,-1
9,5,1
9,6,-1
9,10,2
9,11,-1
9,13,2
9,15,-2
10,2,-2
10,9,1
10,11,-2
10,13,2
10,15,-2
11,6,2
11,7,2
11,8,1
11,9,-2
11,10,-1
11,12,2
11,13,-2
11,15,-1
11,16,-1
12,1,-2
12,6,2
12,7,2
12,8,2
12,11,1
12,14,-2
12,15,-2
12,16,-2
13,6,-1
13,7,1
13,9,2
13,10,1
13,11,-1
13,14,2
13,15,-2
13,16,-1
14,5,1
14,8,-2
14,12,-1
14,13,1
14,16,-1
15,1,2
15,2,1
15,5,-2
15,9,-2
15,10,-1
15,11,-1
15,12,-1
15,13,-1
15,16,2
16,1,2
16,2,2
16,5,-2
16,6,-1
16,11,-2
16,12,-1
16,13,-2
16,14,-1
16,15,1